Gene,BreastEarly_1,BreastEarly_2,BreastEarly_3,BreastMid_1,BreastMid_2,BreastMid_3,BreastLate_1,BreastLate_2,BreastLate_3,LungMetastasis_1,LungMetastasis_2,LungMetastasis_3
Xcl1,0,0,1,0,0,0,0,0,0,0,0,0
Xcr1,0,0,0,0,0,0,0,0,0,0,0,0
Xdh,531,538,453,29,31,25,112,108,96,430,235,224
Xiap,38,65,34,5,0,1,32,52,32,43,18,23
Xirp1,0,1,2,0,90,173,0,0,0,3,1,2
Xirp2,0,0,1,0,47,126,0,0,0,4,2,0
Xist,1145,1890,1289,86,47,67,805,1398,895,463,264,310
Xk,1,2,0,0,0,6,0,0,1,1,1,0
Xkr4,0,0,0,0,0,0,0,0,0,4,3,3
Xkr5,0,0,0,1,2,0,0,0,0,1,1,0
Xkr6,1,1,0,0,3,0,0,0,1,4,4,4
Xkr7,0,0,0,1,0,0,0,0,0,1,0,0
Xkr8,2,5,3,0,0,0,0,1,1,3,0,2
Xkrx,0,1,0,1,2,2,4,0,4,2,0,0
Xlr,0,0,0,0,0,0,0,0,0,2,0,0
Xlr3a,0,0,0,0,0,0,0,0,0,0,0,1
Xlr3b,0,1,0,0,0,0,0,0,0,5,1,0
Xlr4a,0,0,0,0,0,0,0,0,0,0,0,0
Xndc1,9,3,1,0,0,0,4,3,5,5,0,4
Xntrpc,0,0,0,0,0,0,0,0,0,1,0,0
Xpa,0,6,2,0,2,0,5,3,6,10,4,5
Xpc,16,19,18,1,0,0,13,11,11,31,22,14
Xpnpep1,21,27,24,20,14,7,34,23,34,35,25,17
Xpnpep2,1,0,0,0,0,0,1,1,0,2,0,3
Xpnpep3,8,9,13,2,11,6,6,7,6,10,8,7
Xpo1,40,72,44,12,10,10,50,79,53,50,27,24
Xpo4,17,27,17,2,1,1,15,16,17,16,17,11
Xpo5,19,22,21,10,5,2,36,23,33,40,20,21
Xpo6,57,49,49,31,18,11,57,58,35,91,71,59
Xpo7,33,40,41,4,2,7,28,18,13,32,23,18
Xpot,29,29,24,7,4,3,43,19,33,35,43,47
Xpr1,27,39,26,9,6,6,6,9,13,20,6,13
Xrcc1,14,24,16,8,6,5,18,10,16,37,24,21
Xrcc2,6,9,2,0,0,0,2,3,5,0,0,0
Xrcc3,12,10,7,0,0,0,5,7,8,8,7,5
Xrcc4,5,1,5,0,0,0,2,4,1,9,5,4
Xrcc5,10,9,12,0,0,0,7,8,3,18,6,7
Xrcc6,9,7,7,1,0,1,7,18,10,10,6,6
Xrn1,59,59,56,12,13,9,25,44,38,67,38,42
Xrn2,24,46,36,12,7,4,20,35,18,60,39,37
Xrra1,3,5,1,0,0,0,1,2,1,0,0,0
Xxylt1,5,2,3,1,3,2,8,1,4,6,4,1
Xylb,6,4,6,1,0,1,19,12,17,4,3,4
Xylt1,0,2,2,6,3,1,3,3,2,23,7,11
Xylt2,8,7,11,28,19,9,8,14,12,35,24,9
Yae1d1,2,7,9,0,0,0,1,4,3,3,3,2
Yaf2,7,7,4,0,0,0,4,4,3,5,0,3
Yap1,81,72,84,7,6,15,93,130,92,73,50,48
Yars1,24,26,18,3,1,1,31,30,34,22,18,8
Yars2,4,4,2,0,0,0,6,5,6,5,8,2
Ybey,3,4,1,1,0,0,1,2,2,3,0,4
Ybx1,68,58,62,14,3,15,71,92,48,68,29,41
Ybx2,1,1,2,1,8,1,5,2,2,6,4,4
Ybx3,42,47,38,24,25,30,139,130,130,27,3,18
Ydjc,5,1,1,0,0,0,3,1,2,4,2,2
